date,production
1954-05-01,-0.10189999999999877
1954-06-01,0.05099999999999838
1954-07-01,0.1526000000000014
1954-08-01,0.1526999999999994
1954-09-01,0.05090000000000039
1954-10-01,-1.7763568394002505e-15
1954-11-01,0.12720000000000198
1954-12-01,0.2544999999999984
1955-01-01,-0.2798999999999996
1955-02-01,0.3053999999999988
1955-03-01,0.05080000000000062
1955-04-01,0.0
1955-05-01,-0.025399999999999423
1955-06-01,-0.07639999999999958
1955-07-01,0.02549999999999919
1955-08-01,0.3817000000000004
1955-09-01,0.05089999999999861
1955-10-01,-0.17809999999999881
1955-11-01,0.025399999999999423
1955-12-01,0.10180000000000078
1956-01-01,0.15270000000000117
1956-02-01,-0.15270000000000117
1956-03-01,-0.1526999999999994
1956-04-01,-0.05090000000000039
1956-05-01,0.12729999999999997
